	labels	titles
0	0	최감독님!  진정 선수들을  사랑하시나요?
1	0	SK 9위이고 한화이글스가 10위 꼴지인 이유!!!
2	0	감독대행은 허수아비냐?
3	0	제발 대타좀 내지마
4	0	한화이글스fa영입
5	0	한화이글스 진짜 더럽게 못한다....ㅉㅉ
6	0	박종훈 상대 15연패??이기는 법 알아도 안하냐?? 그냥 뒈져...
7	0	순리대로가자 순리대로
8	0	배영수 두산 2군코치 잘하나보네여
9	0	서풀드투수 최선을 다 해 투구하지 않는거가타요
10	0	원호야 감독놀이 재미있지?
11	0	연승 분위기 찬물 뿌리는 외국인 1선발 서폴드
12	0	어떻게 1선발이 젤 못하냐
13	0	겨울에 야수 2명정도는 영입해야
14	0	무능  최원호 대행과 최악 정민철....떨거지들 빨리 사퇴하라....
15	1	Nc너그들 정우람 후려쳐서 트레이드 불발되더니
16	1	진욱아 접전상황에서 나와
17	1	더블헤더 1차전은 9위로 올라가지 않기 위해
18	1	우리 fa영입하면 누구 묶어야 하나요
19	1	신인들 위주 라인업에서 이기니까
20	1	반즈랑 서폴드는 하는행동이 호감형이랑 계속 보고픈데
21	1	오늘 최대행이 어제 용규 태균 재훈
22	1	진행아 스리런 빠던보다
23	1	속터진다 속터져 김종수보다 강재민이 믿을맨이면
24	1	윤영삼 선수 안데려옵니까?
25	1	연장전 10초 2사 만루에 대타 송광민?
26	1	오늘도 한화이글스 야구 스럽다.
27	1	한화이글스fa영입
28	0	팀 기강부터 바로 세워야
29	0	한화그룹 올시즌 끝나면 제대로 칼춤 추시길,....
30	0	신인선수들 타격으로 쫓아가다가 이성열에서 끝
31	0	한화이글스 1군 수비코치 도대체 누구냐?
